[MASTER] 19:47:44.567 [pool-2-thread-1] WARN  TestSuiteSerialization - Cannot load tests because file does not exist: /Users/victor/IdeaProjects/lootcode/src/main/.evosuite/evosuite-seeds/com.kechen.controller.MyController.seed
[MASTER] 19:47:44.736 [pool-2-thread-1] WARN  TimeController - Phase INITIALIZATION lasted too long, 6 seconds more than allowed.
[MASTER] 19:47:53.035 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: No generators of type java.util.List<com.kechen.domain.Problem>
[MASTER] 19:47:54.718 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: No generators of type java.util.EnumSet<com.alibaba.fastjson.PropertyNamingStrategy>
[MASTER] 19:47:56.783 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: No generators of type java.util.ArrayDeque<java.sql.DataTruncation>
[MASTER] 19:47:58.308 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: No generators of type java.util.Set<com.kechen.domain.Problem_Code>
[MASTER] 19:48:00.571 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Have no generator for interface com.kechen.repository.UserRepository canUseFunctionalMocks=false, canBeMocked: true
[MASTER] 19:48:00.780 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Have no generator for interface com.kechen.repository.ProblemRepository canUseFunctionalMocks=false, canBeMocked: true
[MASTER] 19:48:01.378 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for com.kechen.domain.Problem_Code due to org.evosuite.ga.ConstructionFailedException: Have no generator for interface com.kechen.repository.ProblemRepository canUseFunctionalMocks=false, canBeMocked: true
[MASTER] 19:48:02.500 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for com.kechen.domain.Problem_Code due to org.evosuite.ga.ConstructionFailedException: Have no generator for interface com.kechen.repository.UserRepository canUseFunctionalMocks=false, canBeMocked: true
[MASTER] 19:48:03.589 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for com.kechen.domain.User_Problem due to org.evosuite.ga.ConstructionFailedException: Have no generator for interface com.kechen.repository.UserRepository canUseFunctionalMocks=false, canBeMocked: true
[MASTER] 19:48:09.055 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for com.kechen.domain.User_Problem due to org.evosuite.ga.ConstructionFailedException: Have no generator for interface com.kechen.repository.ProblemRepository canUseFunctionalMocks=false, canBeMocked: true
