[MASTER] 20:14:49.178 [pool-2-thread-1] WARN  TimeController - Phase INITIALIZATION lasted too long, 14 seconds more than allowed.
[MASTER] 20:15:21.672 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: No generators of type java.util.List<com.kechen.domain.Problem>
[MASTER] 20:15:22.396 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: No generators of type java.util.Set<com.kechen.domain.Problem_Code>
[MASTER] 20:15:26.096 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: No generators of type java.util.PriorityQueue<java.sql.SQLFeatureNotSupportedException>
[MASTER] 20:15:26.559 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: No generators of type java.util.LinkedHashSet<java.sql.SQLRecoverableException>
[MASTER] 20:15:36.451 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: No generators of type java.util.LinkedHashSet<java.lang.Object>
[MASTER] 20:15:41.638 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: No generators of type class java.lang.Object
[MASTER] 20:15:44.494 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: No generators of type java.util.HashSet<java.lang.Boolean>
[MASTER] 20:15:46.033 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: No generators of type java.util.EnumSet<com.mysql.fabric.ServerMode>
[MASTER] 20:15:58.346 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Have no generator for interface com.kechen.repository.ProblemRepository canUseFunctionalMocks=false, canBeMocked: true
[MASTER] 20:15:58.650 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for com.kechen.domain.Problem_Company due to org.evosuite.ga.ConstructionFailedException: Have no generator for interface com.kechen.repository.CompanyRepository canUseFunctionalMocks=false, canBeMocked: true
[MASTER] 20:15:59.091 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Have no generator for interface com.kechen.repository.UserRepository canUseFunctionalMocks=false, canBeMocked: true
[MASTER] 20:16:06.896 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for com.kechen.domain.Problem_Code due to org.evosuite.ga.ConstructionFailedException: Have no generator for interface com.kechen.repository.UserRepository canUseFunctionalMocks=false, canBeMocked: true
[MASTER] 20:16:08.295 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for com.kechen.domain.User_Problem due to org.evosuite.ga.ConstructionFailedException: Have no generator for interface com.kechen.repository.UserRepository canUseFunctionalMocks=false, canBeMocked: true
[MASTER] 20:16:12.294 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.DataTruncation due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLNonTransientException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.BatchUpdateException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLSyntaxErrorException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLException due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 20:16:18.763 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLTransientConnectionException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.BatchUpdateException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLDataException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.DataTruncation due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 20:16:19.942 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for com.kechen.domain.Problem_Code due to org.evosuite.ga.ConstructionFailedException: Have no generator for interface com.kechen.repository.ProblemRepository canUseFunctionalMocks=false, canBeMocked: true
[MASTER] 20:16:39.697 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for com.kechen.domain.Problem_Code due to org.evosuite.ga.ConstructionFailedException: Have no generator for interface com.kechen.repository.CodeRepository canUseFunctionalMocks=false, canBeMocked: true
[MASTER] 20:17:05.812 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for com.kechen.domain.User_Problem due to org.evosuite.ga.ConstructionFailedException: Have no generator for interface com.kechen.repository.ProblemRepository canUseFunctionalMocks=false, canBeMocked: true
[MASTER] 20:17:07.182 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for com.kechen.domain.Problem_Code due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for com.kechen.domain.Code due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 20:17:24.285 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLIntegrityConstraintViolationException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.BatchUpdateException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for org.evosuite.runtime.mock.java.lang.MockThrowable due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLTransactionRollbackException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLClientInfoException due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
